,Province_State,Country_Region,Confirmed,Lat,Long_
65,Sao Paulo,Brazil,4648715,-23.5505,-46.6333
53,Minas Gerais,Brazil,2713581,-18.5122,-44.555
56,Parana,Brazil,1973247,-25.2521,-52.0215
60,Rio Grande do Sul,Brazil,1826295,-30.0346,-51.2177
61,Rio de Janeiro,Brazil,1757151,-22.9068,-43.1729
64,Santa Catarina,Brazil,1442511,-27.2423,-50.2189
45,Bahia,Brazil,1363312,-12.5797,-41.7007
46,Ceara,Brazil,1124676,-5.4984,-39.3206
49,Goias,Brazil,1037046,-15.827,-49.8362
48,Espirito Santo,Brazil,848235,-19.1834,-40.3089
57,Pernambuco,Brazil,698267,-8.8137,-36.9541
54,Para,Brazil,650512,-1.9981,-54.9306
51,Mato Grosso,Brazil,629323,-12.6819,-56.9211
47,Distrito Federal,Brazil,606765,-15.7998,-47.8645
44,Amazonas,Brazil,529876,-3.4168,-65.8561
55,Paraiba,Brazil,498923,-7.24,-36.782
59,Rio Grande do Norte,Brazil,425866,-5.4026,-36.9541
52,Mato Grosso do Sul,Brazil,423244,-20.7722,-54.7852
50,Maranhao,Brazil,386567,-4.9609,-45.2744
58,Piaui,Brazil,344237,-7.7183,-42.7289
62,Rondonia,Brazil,318313,-11.5057,-63.5806
66,Sergipe,Brazil,293716,-10.5741,-37.3857
67,Tocantins,Brazil,269128,-10.1753,-48.2982
42,Alagoas,Brazil,258240,-9.5713,-36.782
43,Amapa,Brazil,151958,0.902,-52.003
63,Roraima,Brazil,142566,-2.7376,-62.0751
41,Acre,Brazil,101260,-9.0238,-70.812
